 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, reg, isBoldDriver, TrainTime, TestTime,
0.096667,0.082917,0.051563,0.171954,0.332917,1.000000,0.464931,0.465724,0.492724,0.120103,0.153406,0.202131,0.148419,0.210644,0.385105,0.183333,0.207650,0.236488,8,71,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.118939,0.090530,0.050758,0.207421,0.322480,1.000000,0.380997,0.467983,0.523545,0.109883,0.139122,0.189321,0.153743,0.199417,0.373452,0.170328,0.184077,0.213833,8,72,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.103472,0.081250,0.046441,0.244129,0.391614,1.000000,0.437789,0.495346,0.570863,0.152661,0.180320,0.226823,0.193036,0.248663,0.408001,0.220833,0.240505,0.267861,8,73,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.080303,0.078788,0.050663,0.112821,0.309039,1.000000,0.404040,0.414716,0.433528,0.062502,0.097724,0.144866,0.086480,0.159538,0.334408,0.098485,0.128391,0.155741,8,74,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.069167,0.057500,0.045104,0.148313,0.254861,1.000000,0.493750,0.483924,0.426395,0.122063,0.141834,0.187918,0.134001,0.176530,0.361930,0.136389,0.157445,0.190205,8,75,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.130833,0.112083,0.053646,0.260354,0.452790,1.000000,0.345486,0.457548,0.544625,0.133948,0.177529,0.220259,0.190329,0.266671,0.407763,0.226319,0.248264,0.267115,8,76,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.107937,0.093651,0.052183,0.216005,0.339947,1.000000,0.402116,0.455692,0.509510,0.107183,0.138297,0.187353,0.149170,0.205063,0.373578,0.162831,0.186983,0.211828,8,77,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.110256,0.095726,0.055876,0.185348,0.333211,1.000000,0.461538,0.458804,0.518773,0.134524,0.171987,0.224061,0.167371,0.228398,0.406534,0.213533,0.236084,0.265213,8,78,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.100725,0.082971,0.050453,0.189777,0.351579,1.000000,0.387379,0.443424,0.471830,0.094562,0.125875,0.170100,0.134536,0.193729,0.358262,0.153865,0.173702,0.198194,8,79,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.116667,0.097917,0.053385,0.234538,0.358697,1.000000,0.387153,0.472625,0.520107,0.149166,0.183778,0.231009,0.191082,0.244890,0.410027,0.224421,0.239140,0.264455,8,80,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.088618,0.083333,0.051016,0.140360,0.343564,1.000000,0.435976,0.418877,0.486688,0.088870,0.128307,0.175899,0.115372,0.191714,0.362933,0.134282,0.167183,0.194263,8,81,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.100833,0.097500,0.056042,0.162194,0.387556,1.000000,0.396528,0.418857,0.547284,0.095095,0.142725,0.195556,0.130354,0.215014,0.384552,0.165139,0.197746,0.225437,8,82,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.102439,0.103252,0.056707,0.172596,0.356959,1.000000,0.409892,0.458628,0.527414,0.086571,0.133491,0.186212,0.130153,0.204606,0.377092,0.173984,0.196550,0.225932,8,83,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.090152,0.080303,0.050947,0.174916,0.301578,1.000000,0.435606,0.467228,0.496499,0.107821,0.141731,0.191786,0.138779,0.192293,0.373358,0.159280,0.177860,0.207568,8,84,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.094697,0.084470,0.052841,0.164655,0.315494,1.000000,0.458018,0.450596,0.435103,0.105680,0.138527,0.186509,0.139031,0.200510,0.374090,0.179987,0.208225,0.232589,8,85,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.106818,0.090152,0.051705,0.194592,0.350694,1.000000,0.422033,0.464872,0.504610,0.114928,0.149512,0.197730,0.156003,0.216228,0.384780,0.196528,0.218613,0.243808,8,86,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.096296,0.103704,0.055648,0.152135,0.362530,1.000000,0.388272,0.415557,0.537387,0.079355,0.128331,0.180924,0.117540,0.203722,0.373665,0.155247,0.187695,0.214539,8,87,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.102564,0.089316,0.058974,0.135874,0.283262,1.000000,0.356481,0.416022,0.497213,0.080484,0.112720,0.173895,0.114245,0.173732,0.370781,0.153561,0.175142,0.206364,8,88,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.087805,0.084959,0.051829,0.133201,0.283875,1.000000,0.443767,0.441589,0.468309,0.086604,0.124516,0.174506,0.114317,0.176244,0.359877,0.145257,0.168420,0.199138,8,89,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.098333,0.080000,0.053542,0.140851,0.227854,1.000000,0.405208,0.464468,0.444972,0.089000,0.115066,0.170635,0.120485,0.159532,0.357948,0.151458,0.165238,0.197119,8,90,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.092029,0.093841,0.049094,0.144686,0.391606,1.000000,0.455616,0.445117,0.490244,0.096367,0.145649,0.186203,0.126920,0.220708,0.371280,0.167452,0.206651,0.228040,8,91,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.089394,0.092424,0.053030,0.138424,0.292378,1.000000,0.449811,0.453084,0.464748,0.085062,0.124940,0.175403,0.115593,0.183129,0.362029,0.153598,0.179266,0.209063,8,92,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.109649,0.107456,0.061075,0.172930,0.306046,1.000000,0.410088,0.429955,0.501384,0.113220,0.153639,0.212206,0.148133,0.211269,0.395984,0.185453,0.211971,0.237713,8,93,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.096124,0.080620,0.049709,0.165310,0.273902,1.000000,0.428941,0.468158,0.452173,0.097459,0.128963,0.176035,0.131491,0.178817,0.359135,0.159238,0.175271,0.204991,8,94,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.100000,0.097807,0.048246,0.170739,0.385756,1.000000,0.422880,0.447960,0.501569,0.083520,0.134987,0.174836,0.121970,0.205988,0.357181,0.138889,0.165803,0.191026,8,95,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.114729,0.103488,0.054748,0.251507,0.377907,1.000000,0.428941,0.478667,0.537049,0.140612,0.180408,0.226679,0.186991,0.245544,0.409757,0.208786,0.229671,0.255132,8,96,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.100000,0.090079,0.050992,0.153792,0.330071,1.000000,0.389550,0.435921,0.509951,0.097535,0.134837,0.183521,0.128780,0.197365,0.369880,0.158069,0.180642,0.210526,8,97,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.098246,0.078947,0.053289,0.170029,0.295332,1.000000,0.410819,0.439171,0.498716,0.108639,0.134222,0.188492,0.137261,0.186994,0.374685,0.161988,0.183708,0.214108,8,98,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.102837,0.083333,0.048316,0.204255,0.326537,1.000000,0.375887,0.464954,0.472650,0.088490,0.119395,0.162681,0.132603,0.181701,0.348586,0.143558,0.158025,0.185177,8,99,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.102326,0.093411,0.054554,0.214538,0.345801,1.000000,0.440891,0.468615,0.499052,0.137802,0.174264,0.221686,0.174027,0.232028,0.403537,0.204070,0.227416,0.254280,8,100,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.100758,0.085227,0.050095,0.216294,0.371792,1.000000,0.463068,0.491026,0.556099,0.138819,0.173690,0.222064,0.174722,0.236491,0.402490,0.206629,0.233218,0.259751,8,101,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.090909,0.082955,0.047727,0.180222,0.347980,1.000000,0.381313,0.412184,0.525624,0.083366,0.116399,0.163657,0.117112,0.182257,0.348783,0.114520,0.140732,0.167453,8,102,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.106349,0.087698,0.049901,0.229042,0.393062,1.000000,0.462632,0.492469,0.514958,0.154549,0.192415,0.234552,0.189110,0.252721,0.408319,0.213889,0.237560,0.261863,8,103,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.114286,0.094841,0.050000,0.237695,0.356047,1.000000,0.388889,0.487615,0.512439,0.099169,0.134755,0.180781,0.152681,0.204320,0.366239,0.167923,0.184921,0.208980,8,104,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.101550,0.092248,0.056589,0.182437,0.284943,1.000000,0.383721,0.476325,0.457520,0.082928,0.116857,0.171043,0.122716,0.173770,0.358184,0.131525,0.152566,0.180145,8,105,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.097619,0.092857,0.052579,0.149583,0.335522,1.000000,0.386574,0.418706,0.483663,0.075145,0.116173,0.165576,0.113123,0.187659,0.358004,0.146825,0.178956,0.201706,8,106,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.096032,0.084524,0.048909,0.192603,0.357825,1.000000,0.396164,0.441661,0.549866,0.103194,0.134068,0.186260,0.141178,0.205162,0.375198,0.159458,0.185147,0.213515,8,107,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.119167,0.107500,0.056562,0.186340,0.368523,1.000000,0.356597,0.451331,0.511698,0.099651,0.145805,0.194242,0.144840,0.218000,0.381544,0.179236,0.202106,0.225121,8,108,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.112613,0.101802,0.054279,0.173048,0.335157,1.000000,0.424550,0.477460,0.499627,0.115791,0.159722,0.209726,0.154069,0.222705,0.393797,0.199850,0.225679,0.249769,8,109,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.103509,0.105702,0.055154,0.173148,0.381871,1.000000,0.449561,0.422384,0.505607,0.114577,0.160837,0.208889,0.142965,0.226354,0.388169,0.161915,0.197647,0.219734,8,110,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.108730,0.083730,0.054167,0.177957,0.286442,1.000000,0.387235,0.450050,0.442086,0.105634,0.131789,0.181224,0.144640,0.188277,0.370369,0.175992,0.192130,0.217577,8,111,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.130769,0.110256,0.053632,0.280969,0.449054,1.000000,0.420940,0.467822,0.577419,0.159346,0.200223,0.242640,0.213208,0.280982,0.426099,0.250214,0.270740,0.291876,8,112,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.106667,0.088750,0.049792,0.210397,0.319306,1.000000,0.403472,0.475868,0.478579,0.095177,0.128929,0.171769,0.138578,0.186634,0.355630,0.147569,0.163692,0.191869,8,113,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.105556,0.094048,0.054266,0.190719,0.355688,1.000000,0.390873,0.420446,0.506926,0.102248,0.137316,0.186605,0.141234,0.209097,0.379376,0.162235,0.194870,0.218631,8,114,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.111382,0.079268,0.050407,0.214278,0.301132,1.000000,0.385501,0.473126,0.466540,0.124871,0.143091,0.191614,0.162434,0.198519,0.375910,0.185366,0.201739,0.228316,8,115,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.108130,0.080081,0.051829,0.210479,0.317818,1.000000,0.403794,0.476626,0.470721,0.135505,0.158110,0.206123,0.169593,0.214176,0.390218,0.187060,0.206365,0.231751,8,116,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.090476,0.082937,0.055655,0.139011,0.269650,1.000000,0.421627,0.414242,0.467552,0.090133,0.118915,0.175518,0.116995,0.170580,0.361873,0.145701,0.169668,0.199681,8,117,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.108730,0.105952,0.057044,0.195942,0.334816,1.000000,0.397817,0.448968,0.494251,0.103708,0.143312,0.196345,0.149030,0.211851,0.384317,0.187566,0.209892,0.233865,8,118,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.118421,0.103947,0.058772,0.192686,0.321296,1.000000,0.400950,0.490166,0.459047,0.106721,0.148368,0.197784,0.152558,0.209416,0.385671,0.194444,0.209682,0.236452,8,119,0.02,-1.0,1.0E-4,true,'00:00','00:00',
