 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, regB, regU, regI, regC, isBoldDriver, TrainTime, TestTime,
0.118939,0.104167,0.056250,0.198588,0.337202,1.000000,0.414457,0.461234,0.520902,0.132647,0.169008,0.221564,0.172697,0.232724,0.405489,0.213699,0.239111,0.263060,8,55,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.130894,0.102846,0.055285,0.283370,0.398787,1.000000,0.441396,0.512679,0.552998,0.189378,0.223989,0.270090,0.234115,0.284274,0.444934,0.275881,0.291851,0.318020,8,56,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.120290,0.090942,0.051449,0.250154,0.331346,1.000000,0.468599,0.544787,0.508119,0.160806,0.187747,0.237243,0.209357,0.245946,0.416017,0.264191,0.274848,0.301141,8,57,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.123577,0.111382,0.055285,0.215844,0.391754,1.000000,0.441057,0.480437,0.558615,0.134214,0.179808,0.229129,0.181221,0.254480,0.416553,0.239431,0.264908,0.291515,8,58,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.097163,0.086525,0.050355,0.162959,0.283812,1.000000,0.465721,0.502297,0.433503,0.102754,0.137865,0.185513,0.140343,0.192003,0.366676,0.192671,0.208221,0.236848,8,59,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.113492,0.090079,0.049802,0.221520,0.367923,1.000000,0.402778,0.481344,0.515404,0.112942,0.147466,0.190638,0.161570,0.218642,0.379012,0.199802,0.221622,0.245159,8,60,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.111382,0.079268,0.048780,0.219173,0.295935,1.000000,0.360772,0.479772,0.454670,0.098052,0.119023,0.166188,0.143412,0.177482,0.353937,0.148645,0.161663,0.189198,8,61,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.115000,0.095417,0.057396,0.253730,0.403340,1.000000,0.430556,0.480266,0.535723,0.143261,0.179983,0.231442,0.189548,0.252073,0.417518,0.221528,0.248525,0.270790,8,62,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.131746,0.118254,0.056250,0.259056,0.491662,1.000000,0.361442,0.454865,0.566068,0.123539,0.175981,0.216082,0.179790,0.271178,0.407056,0.200066,0.230795,0.249729,8,63,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.089630,0.080000,0.048241,0.217028,0.413316,1.000000,0.374074,0.414396,0.505600,0.100243,0.129364,0.172397,0.139804,0.209934,0.361405,0.135556,0.165983,0.187992,8,64,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.120635,0.089286,0.052381,0.229718,0.334524,1.000000,0.408399,0.506114,0.509555,0.134866,0.163794,0.213609,0.179591,0.224053,0.397375,0.207407,0.224767,0.251112,8,65,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.133333,0.108712,0.053883,0.257927,0.433234,1.000000,0.376578,0.446226,0.571247,0.139309,0.178380,0.224402,0.193405,0.261808,0.412915,0.231439,0.255390,0.276236,8,66,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.123016,0.097222,0.049206,0.265256,0.394974,1.000000,0.417989,0.511110,0.519709,0.144786,0.180962,0.220503,0.193227,0.246194,0.397105,0.210913,0.226044,0.250639,8,67,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.104167,0.095417,0.057187,0.176343,0.335208,1.000000,0.401042,0.448669,0.489292,0.103090,0.144391,0.194937,0.141076,0.206213,0.383241,0.175556,0.198884,0.224278,8,68,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.127193,0.104825,0.059759,0.224739,0.355879,1.000000,0.385599,0.478804,0.491315,0.119140,0.158401,0.211131,0.172396,0.229650,0.403472,0.222076,0.238788,0.262033,8,69,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.121970,0.095455,0.049148,0.231836,0.428301,1.000000,0.406881,0.481944,0.539155,0.133819,0.171785,0.212255,0.179980,0.252803,0.398358,0.216414,0.242003,0.263842,8,70,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.114912,0.097807,0.056469,0.181485,0.311696,1.000000,0.360015,0.469625,0.514528,0.086899,0.125898,0.179750,0.132783,0.188992,0.373511,0.166520,0.183018,0.213675,8,71,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.088636,0.098106,0.050189,0.148864,0.388889,1.000000,0.392045,0.402447,0.543792,0.066970,0.119554,0.165541,0.101396,0.196672,0.355102,0.117551,0.155192,0.179532,8,72,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.097561,0.074797,0.050711,0.166802,0.262873,1.000000,0.445461,0.479562,0.484954,0.105002,0.128595,0.181752,0.136762,0.175331,0.368253,0.164295,0.178433,0.213139,8,73,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.125000,0.093939,0.050663,0.245644,0.406566,1.000000,0.442235,0.485991,0.559071,0.167856,0.197426,0.243300,0.211383,0.270223,0.426016,0.260859,0.283844,0.306755,8,74,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.097727,0.091288,0.050284,0.169255,0.337500,1.000000,0.392045,0.449209,0.491642,0.081686,0.122004,0.167833,0.120157,0.188209,0.354920,0.136806,0.162425,0.187940,8,75,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.109848,0.096591,0.049905,0.231692,0.381854,1.000000,0.438131,0.479294,0.529834,0.113618,0.154296,0.198403,0.164634,0.227992,0.385490,0.196275,0.220838,0.244280,8,76,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.113333,0.115833,0.057812,0.203800,0.442014,1.000000,0.398611,0.425637,0.536482,0.103140,0.158068,0.201217,0.151061,0.243730,0.392748,0.190000,0.219664,0.240612,8,77,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.099206,0.104365,0.054167,0.154388,0.380640,1.000000,0.400463,0.395999,0.550993,0.085693,0.132207,0.184893,0.122670,0.212254,0.377887,0.158003,0.197005,0.220355,8,78,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.099225,0.099612,0.050388,0.163748,0.364878,1.000000,0.437661,0.440676,0.528566,0.094375,0.139165,0.186926,0.129368,0.208697,0.368729,0.159238,0.187743,0.214097,8,79,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.090698,0.081783,0.051260,0.162661,0.321336,1.000000,0.447028,0.468039,0.519097,0.103230,0.140216,0.190341,0.133512,0.198665,0.376385,0.166537,0.192749,0.222000,8,80,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.118699,0.100407,0.055183,0.241229,0.375548,1.000000,0.377710,0.469153,0.475012,0.125019,0.160539,0.205378,0.173586,0.230189,0.390764,0.194106,0.214541,0.236420,8,81,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.117424,0.103788,0.053598,0.206734,0.410354,1.000000,0.361111,0.452486,0.532139,0.118948,0.164273,0.209111,0.164780,0.243607,0.397470,0.203220,0.225782,0.247455,8,82,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.117073,0.090650,0.050915,0.224982,0.342150,1.000000,0.448171,0.508203,0.489175,0.165395,0.191826,0.239252,0.201162,0.248254,0.413399,0.243902,0.261490,0.286039,8,83,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
